address	ID	Name
"        41, 505554, -112, 772333"	1049	"Unnamed Road, Box Elder County, Utah, United States"
"        41, 432562, -112, 104795"	1050	"Unnamed Road, Corinne, Box Elder County, Utah, United States, 84307"
"        40, 938934, -112, 032394"	1052	"Davis County, Utah, United States"
"        40, 665112, -112, 365546"	1053	"Lincoln Highway, Grantsville, Tooele County, Utah, United States, 84029"
"        40, 725633, -112, 49794"	1054	"Unnamed Road, Grantsville, Tooele County, Utah, United States, 84029"
"        40, 812193, -112, 661517"	1055	"Unnamed Road, Tooele County, Utah, United States"
"        40, 781728, -112, 622872"	1056	"Unnamed Road, Tooele County, Utah, United States"
"        39, 532597, 2, 587215"	1057	"7, Carrer Cala Contesa, CalviÃ , Balearic Islands, Balearic Islands, Spain, 07181"
"        36, 956476, 99, 857483"	1063	"Huanhu West Road, Gangca, Haibei, Qinghai, China"
"        36, 72994, 99, 895484"	1064	"G109, Gonghe, Hainan, Qinghai, China"
"        36, 654612, 100, 473769"	1065	"151åè·, 109 National Road, Gonghe, Hainan, Qinghai, China"
"        36, 94742, 100, 50705"	1066	"310çœÅéÅ“, Haiyan, Haibei, Qinghai, China"
"        36, 746482, 100, 70961"	1067	"310çœÅéÅ“, Haiyan, Haibei, Qinghai, China"
"        36, 180008, 100, 8078"	1068	"X304, Gonghe, Hainan, Qinghai, China"
"        35, 270342, 98, 689198"	1069	"Madoi, Golog, Qinghai, China"
"        34, 96925, 97, 094421"	1070	"Qumarleb, Yushu, Qinghai, China"
"        31, 923391, 83, 117709"	1071	"Gerze, Ngari, Xizang (Tibet), China"
"        46, 666756, 61, 502323"	1074	"Magzhan Zhumabaev, Aralsk, Aral District, Kyzylorda Province, Kazakhstan"
"        37, 002237, 99, 895136"	1075	"Huanhu West Road, Gangca, Haibei, Qinghai, China"
"        37, 410572, 97, 34001"	1077	"West Ring Road, Delhi, Haixi, Qinghai, China"
"        37, 327917, 97, 158054"	1078	"S20 Dexiao Expressway Exit, Delhi, Haixi, Qinghai, China"
"        37, 259966, 97, 412352"	1080	"409 County Road, Delhi, Haixi, Qinghai, China"
"        37, 058462, 97, 385798"	1081	"Airport Highway, Delhi, Haixi, Qinghai, China"
"        36, 954131, 95, 629734"	1082	"Dulan, Haixi, Qinghai, China"
"        37, 679854, 93, 374705"	1084	"315 National Road, Haixi, Qinghai, China"
"        38, 894614, 73, 298504"	1085	"M41, Gorno-Badakhshan Autonomous Province, Tajikistan"
"        45, 742273, 73, 555854"	1086	"M-36, Moiynkum District, Jambyl Province, Kazakhstan"
"        -18, 784436, -69, 24246"	1087	"A-319, Arica and Parinacota Region, Chile"
"        -16, 632427, -70, 198892"	1089	"Mariscal Nieto Province, Moquegua, Peru"
"        -16, 382218, -71, 121049"	1091	"115, Arequipa, Arequipa, Peru"
"        -16, 36284, -71, 116197"	1092	"34C, Salinas and Aguada Blanca National Reservation, Arequipa, Arequipa, Peru"
"        -16, 40911, -71, 253599"	1093	"34C, Arequipa, Arequipa, Peru"
"        -16, 531462, -70, 987073"	1094	"34D, General SÃ¡nchez Cerro Province, Moquegua, Peru"
"        -17, 105065, -71, 307511"	1095	"1S, Mariscal Nieto Province, Moquegua, Peru"
"        -17, 279111, -71, 49577"	1096	"Costanera Norte, Islay Province, Arequipa, Peru"
"        -17, 565184, -71, 191715"	1097	"Interoceanica Sur, Ilo Province, Moquegua, Peru"
"        -17, 0673, -70, 777984"	1098	"Central, Villa Botiflaca, Mariscal Nieto Province, Moquegua, Peru"
"        -17, 054767, -70, 727322"	1099	"Carretera Cuajone, Mina Cuajone, Mariscal Nieto Province, Moquegua, Peru"
"        24, 908349, 17, 750339"	1101	"Murzuq, Libya"
"        26, 547684, 7, 710187"	1102	"Illizi, Algeria"
"        27, 112022, 2, 235948"	1103	"N52, Tamanrasset, Algeria"
"        29, 725045, -2, 512742"	1104	"BÃ©char, Algeria"
"        39, 217343, 34, 359827"	1105	"Seyfe GÃ¶lÃ_ Yolu, Seyfe, Mucur, Kirsehir, Turkey"
"        21, 26842, -11, 109281"	1107	"Fderik, Tiris Zemmour, Mauritania"
"        -18, 427746, 16, 05135"	1109	"Oshikoto, Namibia"
"        -18, 444108, 16, 008853"	1110	"Oshikoto, Namibia"
"        35, 100308, 83, 138242"	1114	"Gerze, Ngari, Xizang (Tibet), China"
"        -9, 37423, -77, 327464"	1115	"Quebrada Honda, HuascarÃ¡n National Park, Carhuaz, Ancash, Peru"
"        16, 48679, 31, 740875"	1116	"Karary, Khartoum, Sudan"
"        50, 909006, 6, 542559"	1118	"4, Florianweg, Etzweiler, Elsdorf, Rhein-Erft-Kreis, Cologne, North Rhine-Westphalia, Germany, 50189"
"        51, 05611, 6, 541228"	1119	"ErftstraÃŸe, Grevenbroich, DÃ_sseldorf, North Rhine-Westphalia, Germany, 41517"
"        50, 873097, 6, 318117"	1121	"L238, Aldenhoven, Cologne, North Rhine-Westphalia, Germany, 52457"
"        51, 604798, 14, 242012"	1122	"6A, Stradower StraÃŸe, Jehserig, Drebkau, Brandenburg, Germany, 03116"
"        51, 610435, 14, 272799"	1123	"16, Stradower StraÃŸe, Jehserig, Drebkau, Brandenburg, Germany, 03116"
"        -26, 658045, -68, 512952"	1125	"Diego de Almagro, ChaÃ±aral Province, Atacama Region, Chile"
"        -24, 397797, -69, 119968"	1127	"Antofagasta, Antofagasta Province, Antofagasta Region, Chile"
"        -24, 262557, -69, 052334"	1128	"B-55, Antofagasta, Antofagasta Province, Antofagasta Region, Chile"
"        -27, 465975, -69, 195971"	1131	"C-347, CopiapÃ_ Province, Atacama Region, Chile"
"        -28, 534804, -69, 305454"	1132	"Iglesia Department, San Juan Province, Argentina, Argentina"
"        -29, 593162, -70, 333056"	1133	"VicuÃ±a, VicuÃ±a, Elqui Province, Coquimbo Region, Chile"
"        -23, 923571, -68, 876563"	1135	"Antofagasta, Antofagasta Province, Antofagasta Region, Chile"
"        -23, 473285, -68, 353736"	1138	"San Pedro de Atacama, San Pedro de Atacama, El Loa, Antofagasta Region, Chile"
"        -22, 809158, -67, 782404"	1139	"B-243, San Pedro de Atacama, El Loa, Antofagasta Region, Chile"
"        62, 757241, 129, 711263"	1140	"P503, Kysyl-Syr, Namskiy ulus, Sakha Republic, Russia"
"        37, 056292, 97, 38947"	1141	"Airport Highway, Delhi, Haixi, Qinghai, China"
"        24, 108645, 53, 144184"	1143	"Dubai - Ghweifat International Highway, Al Gharbia, Abu Dhabi, United Arab Emirates"
"        25, 36776, 51, 557078"	1147	"Viva Bahriya Roundabout, Medina Centrale, The Pearl-Qatar, Doha, Doha, Qatar"
"        25, 444699, 51, 500334"	1148	"Unnamed Road, Lusail, Doha, Qatar"
"        -54, 850988, -70, 147008"	1151	Chile
"        -51, 887054, -60, 143291"	1152	"West Falkland Road, West Falkland, Falkland Islands (Islas Malvinas), FIQQ 1ZZ"
"        -51, 765426, -60, 205795"	1154	"West Falkland Road, West Falkland, Falkland Islands (Islas Malvinas), FIQQ 1ZZ"
"        24, 792423, 17, 007523"	1155	"Murzuq, Libya"
"        13, 970052, 13, 94474"	1156	"Lac, Chad"
"        45, 488117, 12, 612173"	1157	"Via Antonio Canova, Lido di Jesolo, Jesolo, Venice, Veneto, Italy, 30016"
"        43, 392403, -108, 195827"	1158	"Brannon Road, Shoshoni, Fremont County, Wyoming, United States, 82649"
"        -74, 547767, -111, 881332"	1159	Antarctica
"        -74, 539075, -111, 795588"	1160	Antarctica
"        44, 41416, 8, 846156"	1161	"Via Pionieri ed Aviatori d'Italia, Genoa Cristoforo Colombo Airport, Genoa, Genoa, Liguria, Italy, 16154"
"        44, 415331, 8, 828158"	1163	"4, Via Multedo di Pegli, Genoa, Genoa, Liguria, Italy, 16155"
"        31, 955658, -103, 975983"	1164	"County Road 453, Reeves County, Texas, United States"
"        31, 993446, -103, 985392"	1165	"107, Catfish Road, Loving, Eddy County, New Mexico, United States, 88256"
"        25, 253243, 55, 373591"	1166	"199, Al Quds Street, Al Tawar Second, Dubai, Dubai, United Arab Emirates"
"        35, 555713, 139, 770269"	1167	"6, 1, 3 Chome, Hanedakuko, Ota, Tokyo, Japan"
"        33, 930459, -118, 368858"	1170	"La Cienega, Los Angeles County, California, United States"
"        51, 954807, 4, 043167"	1172	"Coloradoweg, Botlek, Maasvlakte Rotterdam, Government of Rotterdam, South Holland, The Netherlands, 3199"
"        51, 957009, 4, 067441"	1173	"3199 LD, Maasvlakte Rotterdam, The Netherlands"
"        51, 956913, 4, 062254"	1174	"3199 LD, Maasvlakte Rotterdam, The Netherlands"
"        21, 895376, 54, 132105"	1176	"38256, Al Ahsa, Eastern Province, Saudi Arabia"
"        24, 659472, 8, 033999"	1177	"Illizi, Algeria"
"        32, 003052, 12, 562068"	1178	"Alamod, Ä aryÄÅn, Al Jabal al Gharbi, Libya"
"        31, 988753, 12, 136391"	1180	"Algrin Road, Alrujban, Al Jabal al Gharbi, Libya"
"        68, 750408, 170, 700961"	1181	"Chaunsky District, Chukotka Autonomous Okrug, Russia"
"        38, 013794, 86, 957636"	1183	"Qarqan, Bayingol, Xinjiang, China"
"        39, 495378, 74, 256196"	1184	"Ulugqat, Kizilsu, Xinjiang, China"
"        29, 585037, -1, 811038"	1186	"N6, Guerzim, BÃ©char, Algeria"
"        24, 136133, 23, 34783"	1190	"Unnamed Road, Al Kufrah, Libya"
"        24, 16838, 23, 229641"	1191	"Al-Jawf, Al Kufrah, Libya"
"        33, 618305, 55, 153116"	1192	"62, Khour va Biabanak County, Isfahan, Iran"
"        50, 319609, 46, 416762"	1195	"404219, Staropoltavsky District, Volgogradskaya oblast, Russia"
"        40, 677106, 0, 641326"	1196	"6, TV-3406, Amposta, Tarragona, Catalonia, Spain, 43870"
"        40, 736396, 0, 725118"	1197	"TV-3401, Deltebre, Tarragona, Catalonia, Spain, 43580"
"        40, 703253, 0, 647871"	1198	"7, TV-3405, Amposta, Tarragona, Catalonia, Spain, 43870"
"        -33, 656146, -78, 912186"	1199	"La PÃ_lvora, ArchipiÃ©lago de Juan FernÃ¡ndez National Park, Juan FernÃ¡ndez Islands, Juan FernÃ¡ndez, ValparaÃ_so Province, Valparaiso, Chile"
"        -15, 072732, 49, 323138"	1206	"Befandriana-Nord, Mahajanga, Madagascar"
"        36, 07427, -112, 148669"	1207	"Hermit Road, Grand Canyon National Park, Grand Canyon Village, Coconino County, Arizona, United States, 86023"
"        65, 48669, 65, 322229"	1209	"Shuryshkarsky District, Yamalo-Nenets Autonomous Okrug, Russia"
"        18, 455374, -72, 563056"	1211	"Route de L'amitiÃ©, Ouest, Haiti"
"        16, 626858, 97, 078928"	1212	Republic of the Union of Myanmar
"        36, 416583, 104, 779087"	1215	"207 Provincial Road, Jingyuan, Baiyin, Gansu, China"
"        18, 192438, 38, 462588"	1216	"Red Sea, Sudan"
"        32, 530558, -114, 648983"	1217	"South Avenue B, Somerton, Yuma County, Arizona, United States, 85350"
"        -18, 128244, -69, 131781"	1221	"A-123, Putre, Parinacota Province, Arica and Parinacota Region, Chile"
"        -17, 855578, -69, 491315"	1222	"A-109, General Lagos, Parinacota Province, Arica and Parinacota Region, Chile"
"        50, 901784, 4, 48795"	1224	"260, Brussels Airport, Leopoldlaan, Zaventem, Flemish Brabant, Flanders, Belgium, 1934"
"        40, 721053, 0, 711965"	1225	"23, Carrer Maldonado, Deltebre, Tarragona, Catalonia, Spain, 43580"
"        40, 787672, 0, 73927"	1226	"TV-3401, Camarles, Tarragona, Catalonia, Spain, 43895"
"        -39, 106666, -68, 590571"	1229	"Ruta Nacional 237, Confluencia Department, NeuquÃ©n Province, Argentina"
"        -38, 018476, -67, 863928"	1230	"Ruta Nacional 151, General Roca, RÃ_o Negro Province, Argentina"
"        -37, 888737, -67, 763678"	1231	"Acceso A Catriel, General Roca, RÃ_o Negro Province, Argentina"
"        49, 060688, -104, 564841"	1233	"Unnamed Road, Minton, Surprise Valley No,  9, Division No,  2, Saskatchewan, Canada, S0C 1T0"
"        -22, 246438, 166, 520768"	1237	"Impasse Gabriel Georget, Tina sur mer, Noumea, South Province, New Caledonia"
"        -22, 285279, 166, 439567"	1238	"rue Adolphe Barrau, Orphelinat, Noumea, South Province, New Caledonia"
"        -22, 333146, 166, 401758"	1239	"25, Promenade Pierre Vernier, Val Plaisance, Noumea, South Province, New Caledonia"
"        -22, 115198, 166, 055211"	1240	New Caledonia
"        -22, 09154, 166, 008294"	1241	"RT1, Boulouparis, South Province, New Caledonia"
"        -22, 021209, 165, 93827"	1242	New Caledonia
"        -21, 829473, 165, 698032"	1243	"RT1, Moindou, South Province, New Caledonia"
"        32, 753138, -114, 659843"	1245	"2440-2496, Arnold Road, Winterhaven, Imperial County, California, United States, 92283"
"        13, 674511, 25, 393353"	1247	"B26, Al Fasher, Shamal Darfur, Sudan"
"        13, 6748, 25, 39291"	1248	"B26, Al Fasher, Shamal Darfur, Sudan"
"        36, 927304, -110, 149999"	1251	"Mystery Valley Road, Kayenta, Navajo County, Arizona, United States, 86033"
"        37, 07604, -110, 3023"	1253	"South J C 427, Oljato-Monument Valley, San Juan County, Utah, United States, 84536"
"        36, 888172, -109, 98485"	1254	"Unnamed Road, Dennehotso, Arizona, United States, 86535"
"        37, 167533, -111, 328197"	1255	"Croton Road, Kane County, Utah, United States"
"        37, 079649, -111, 538047"	1256	"County Road, Kane County, Utah, United States"
"        37, 084832, -111, 53699"	1257	"National Park 230, Kane County, Utah, United States"
"        36, 674511, -111, 735163"	1258	"Unnamed Road, Marble Canyon, Coconino County, Arizona, United States, 86036"
"        36, 904504, -111, 401796"	1259	"Indian Route 222, Williams, Coconino County, Arizona, United States, 86046"
"        36, 913293, -111, 398355"	1260	"Unnamed Road, Page, Coconino County, Arizona, United States, 86040"
"        30, 435058, -97, 936936"	1265	"5921, Hiline Road, Emerald Point, Austin, Travis County, Texas, United States, 78734"
"        45, 096632, 8, 882908"	1267	"Unnamed Road, Raffineria ENI di Sannazzaro, Raffineria, Sannazzaro de' Burgondi, Pavia, Lombardy, Italy, 27039"
"        48, 86875, 2, 367403"	1268	"31, Rue du Faubourg du Temple, Paris, Paris, Ã_le-de-France, France, 75010"
"        48, 862001, 2, 3473"	1269	"ChÃ¢telet - Les Halles, Paris, Paris, Ã_le-de-France, France, 75001"
"        39, 375301, -100, 983196"	1270	"County Road 431, Colby, Morgan, Thomas County, Kansas, United States, 67701"
"        28, 459536, -81, 557604"	1273	"12162-12180, Montalcino Circle, Windermere, Orange County, Florida, United States, 34786"
"        40, 645078, -73, 789493"	1274	"Van Wyck Expressway, John F,  Kennedy International Airport, Jamaica, Queens, Queens County, New York, United States, 11430"
"        38, 487829, -109, 679743"	1277	"Potash Road, Moab, San Juan County, Utah, United States, 84532"
"        48, 848278, 2, 357944"	1280	"15-17, Quai Saint-Bernard, Paris, Paris, Ã_le-de-France, France, 75005"
"        38, 710119, -77, 319911"	1282	"4478, Occoquan View Court, Woodbridge, Coles, Prince William County, Virginia, United States, 22192"
"        25, 786646, -80, 15316"	1285	"1, Flagler Memorial Is, Miami Beach, Miami-Dade County, Florida, United States, 33139"
"        43, 734846, 7, 425299"	1286	"Quai Rainier 1er, La Condamine, Monaco, Monaco, 98000"
"        25, 68895, -80, 170772"	1287	"670, Curtiswood Drive, Key Biscayne, Miami-Dade County, Florida, United States, 33149"
"        -15, 847397, -47, 793596"	1289	"Sh SÃ£o Bartolomeu/ CondomÃ_nio Quintas da Alvorada II, ParanoÃ¡, Brasilia, Brasilia, Federal District, Brazil"
"        25, 780404, -80, 368958"	1290	"Northwest 107th Avenue, Miami, Miami-Dade County, Florida, United States, 33172"
"        43, 89963, -124, 128702"	1292	"83570, Siuslaw National Forest, U, S,  101, Florence, Lane County, Oregon, United States, 97439"
"        51, 508386, -0, 163223"	1293	"Unnamed Road, London, London, Greater London, United Kingdom, W2 2UH"
"        52, 358318, -2, 905637"	1297	"A4113, Craven Arms, Herefordshire, United Kingdom, SY7"
"        33, 898442, -115, 936386"	1298	"Pinto Basin Road, Joshua Tree National Park, Riverside County, California, United States"
"        50, 066606, 8, 727629"	1300	"A661, Frankfurt am Main SÃ_d, Offenbach, Darmstadt, Hesse, Germany, 60599"
"        52, 039415, -2, 770135"	1301	"B4349, Hereford, Herefordshire, United Kingdom, HR2 9SH"
"        52, 101296, 4, 379092"	1302	"26, Zijdesingel, Leidschendam, Leidschendam-Voorburg, South Holland, The Netherlands, 2261 CA"
"        54, 368, 10, 235318"	1308	"998, Bokenkoppel, Heikendorf, Schleswig-Holstein, Germany, 24226"
"        52, 081021, 4, 323466"	1309	"Den Haag, Centraal Station Busplatform, The Hague Center, The Hague, The Hague, South Holland, The Netherlands, 2595"
"        31, 179721, 35, 480757"	1312	"65, Al Karak, Jordan"
"        50, 410713, 13, 335257"	1316	"17, KadaÅˆ, KadaÅˆ 1, Chomutov District, Ã_stÃ_ nad Labem Region, Czech Republic, 432 01"
"        28, 480866, -81, 273852"	1317	"5619, Nerissa Lane, Orlando, Orange County, Florida, United States, 32822"
"        1, 90835, -157, 432194"	1323	Kiribati
"        1, 932369, -157, 487812"	1324	Kiribati
"        26, 249473, 50, 573668"	1325	"Loop Flyover, Sea Front, Manama, Bahrain"
"        51, 911648, 4, 206583"	1326	"133, Europoort, Moezelweg, Botlek, Europoort Rotterdam, Government of Rotterdam, South Holland, The Netherlands, 3198"
"        37, 006632, -110, 722446"	1329	"Indn Route 16, Tonalea, Coconino County, Arizona, United States, 86044"
"        43, 076065, -79, 071336"	1332	"Goat Island Road, Niagara Falls, Niagara County, New York, United States, 14303"
"        -11, 824027, 131, 828561"	1336	"Northern Territory, Australia"
"        27, 789645, 86, 775444"	1337	"Lukla - Everest Base Camp Trekking Route, Chheplung, Lukla, Chaurikharka, Sagarmatha, Eastern Region, Nepal, 56000"
"        -0, 370973, -91, 548408"	1338	"Galapagos, Ecuador"
"        31, 521932, 84, 19345"	1341	"Zhongba, Rikaze, Xizang (Tibet), China"
"        29, 022111, 97, 530852"	1342	"Zayu, Nyingchi, Xizang (Tibet), China"
"        20, 80314, -13, 233114"	1343	"Atar, Adrar, Mauritania"
"        37, 608897, 38, 488268"	1345	"YemiÅŸli KÃ¶yÃ_ Yolu, YemiÅŸli, Å_anlÄ±urfa Merkez, Sanliurfa, Turkey"
"        45, 720302, 5, 076441"	1348	"Rue du Danemark, Lyon-Saint ExupÃ©ry Airport, Colombier-Saugnieu, RhÃ´ne, Rhone-Alpes, France, 69125"
"        38, 486796, -109, 685644"	1349	"Potash Road, Moab, San Juan County, Utah, United States, 84532"
"        43, 734786, 7, 423193"	1350	"1, Route de la Piscine, Monaco, Monaco, 98000"
"        1, 913014, -157, 50825"	1351	"Line Islands, Kiribati"
"        40, 106232, 116, 646126"	1352	"Tiedong Road, Shunyi, Beijing, Beijing, China, 101300"
"        52, 228043, -2, 795345"	1353	"B4529, Leominster, Herefordshire, United Kingdom, HR6"
"        37, 530101, 38, 600062"	1354	"Gazibey KÃ¶yÃ_ Yolu, Å_anlÄ±urfa Merkez, Sanliurfa, Turkey"
"        37, 442277, 37, 7745"	1355	"AÅŸaÄŸÄ±karavaiz KÃ¶yÃ_ Yolu, AÅŸaÄŸÄ±karavaiz, Araban, Gaziantep Province, Turkey"
"        37, 11605, 37, 617269"	1356	"Adana-Å_anlÄ±urfa Otoyolu, Nizip, Gaziantep Province, Turkey"
"        25, 237165, 55, 176751"	1358	"The World Islands, Dubai, Dubai, United Arab Emirates"
"        27, 746758, -82, 626366"	1359	"2385, West Bay Isle Drive Southeast, Tropical Shores, St,  Petersburg, Pinellas County, Florida, United States, 33705"
"        38, 334251, -75, 085716"	1363	"208, North Philadelphia Avenue, Ocean City, 10, Ocean City, Worcester County, Maryland, United States, 21842"
"        18, 566939, -72, 349624"	1364	"Unnamed Road, La Saline, La Saline, Port-au-Prince, Ouest, Haiti"
"        53, 53211, 9, 945913"	1368	"19, Tollerortweg, Kleiner Grasbrook, Hamburg-Mitte, Hamburg, Hamburg, Germany, 20457"
"        34, 031345, -118, 435001"	1369	"Christopher Columbus Transcontinental Highway, Mar Vista, Los Angeles, Los Angeles County, California, United States, 90064"
"        39, 200193, -0, 242461"	1370	"Carrer Tirades, Cullera, Valencia, Valencian Community, Spain"
"        39, 200039, -0, 240841"	1371	"Carrer Tirades, Cullera, Valencia, Valencian Community, Spain"
"        32, 675813, -111, 961318"	1373	"Indn Route 42, Pinal County, Arizona, United States"
"        -26, 209861, 28, 026977"	1374	"53, Western Boulevard, City West, Johannesburg, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, South Africa, 2092"
"        32, 939017, -111, 884457"	1375	"West Miller Road, Casa Grande, Pinal County, Arizona, United States, 85193"
"        32, 641977, -111, 56908"	1377	"26700-26798, 11 Mile Corner Road, Eloy, Pinal County, Arizona, United States, 85131"
"        26, 392898, -80, 152345"	1378	"4885, Hunters Way, Boca Raton, Palm Beach County, Florida, United States, 33434"
"        32, 433242, -111, 524888"	1381	"Unnamed Road, Marana, Pima County, Arizona, United States, 85653"
"        42, 313988, 19, 101208"	1383	"M-2, Skadar Lake National Park, Podgorica, Montenegro"
"        -33, 856829, 151, 214679"	1385	"2A, Macquarie Street, Sydney, New South Wales, Australia, 2000"
"        -25, 344772, 131, 038441"	1388	"State Route 4, Ayers Rock, Northern Territory, Australia, 0872"
"        25, 914864, 51, 634809"	1393	"Rashid Street, Ras Laffan Industrial City, Ad-DahÌ±irah, Al Khor, Qatar"
"        25, 919853, 51, 579931"	1394	"Unnamed Road, Ras Laffan Industrial City, Ad-DahÌ±irah, Al Khor, Qatar"
"        34, 185234, -117, 414429"	1396	"3830, Quartzite Lane, San Bernardino, San Bernardino County, California, United States, 92407"
"        52, 112541, 21, 080312"	1397	"Muchomora, UrsynÃ_w, Warsaw, Warszawa, Masovian Voivodeship, Poland, 02-973"
"        52, 126002, 21, 057189"	1398	"Kretonowa, UrsynÃ_w, Warsaw, Warszawa, Masovian Voivodeship, Poland, 02-835"
"        33, 912283, -118, 17858"	1399	"Glenn Anderson Freeway, Paramount, Los Angeles County, California, United States, 90723"
"        48, 619037, -1, 541508"	1400	"Belmontel, Mont Saint-Michel, Manche, Lower Normandy, France, 50170"
"        48, 88303, -1, 826482"	1402	"De Chausey, Granville, Manche, Lower Normandy, France"
"        48, 971565, -2, 125688"	1403	The Minquiers
"        46, 99188, -2, 28477"	1406	"Unnamed Road, L'Ã‰pine, VendÃ©e, Vendee, Pays de la Loire, France, 85740"
"        46, 726438, -2, 344186"	1407	"Rue de la Galiote, Ã_le d'Yeu, Vendee, Pays de la Loire, France, 85350"
"        46, 165883, -1, 232271"	1408	"Viaduc PrÃ©sident Christian Morch, La Rochelle, Charente-Maritime, Poitou-Charentes, France, 17000"
"        46, 106771, -1, 129993"	1409	"Chemin OstrÃ©Ã¯cole, Angoulins, Charente-Maritime, Poitou-Charentes, France, 17690"
"        49, 918399, -6, 311675"	1413	"7, Strand, Isles of Scilly, Isles of Scilly, United Kingdom, TR21 0PT"
"        49, 894132, -6, 339785"	1414	"Old Lane, Isles of Scilly, Isles of Scilly, United Kingdom, TR22 0PL"
"        48, 861467, 2, 333723"	1416	"1S, Place du Carrousel, Paris, Paris, Ã_le-de-France, France, 75001"
"        41, 891438, -87, 611117"	1417	"North Streeter Drive, Central, Chicago, Cook County, Illinois, United States, 60611"
"        41, 884863, -87, 613252"	1418	"South Harbor Drive, Loop, Cook County, Illinois, United States, 60601"
"        41, 963367, -87, 637961"	1419	"West Montrose Drive, North Side, Chicago, Cook County, Illinois, United States, 60640"
"        40, 750482, -73, 993743"	1420	"Penn Station, Midtown, Manhattan, New York, New York County, New York, United States, 10119"
"        50, 039356, 8, 563777"	1421	"335, Frankfurt Airport, Flughafen Frankfurt am Main, Flughafen, Frankfurt am Main SÃ_d, Frankfurt, Darmstadt, Hesse, Germany, 60549"
"        1, 725472, -157, 210515"	1423	"Line Islands, Kiribati"
"        26, 06138, -173, 979428"	1427	"Honolulu County, Hawaii, United States"
"        28, 398092, -178, 311689"	1429	"Honolulu County, Hawaii, United States"
"        21, 197406, -157, 153995"	1430	"Moomomi Road, Maunaloa, Maui County, Hawaii, United States, 96770"
"        33, 745334, -84, 390004"	1432	"Downtown Connector, Atlanta, Fulton County, Georgia, United States"
"        33, 757222, -84, 40275"	1434	"112, Northside Drive Northwest, Vine City, Atlanta, Fulton County, Georgia, United States, 30313"
"        -16, 328076, -71, 63964"	1435	"Unnamed Road, Arequipa, Arequipa, Arequipa, Peru"
"        -16, 278063, -71, 729221"	1436	"Sendero a Volcan Nicholson, Arequipa, Arequipa, Peru"
"        -16, 235545, -71, 778231"	1437	"539, Arequipa, Arequipa, Peru"
"        19, 096782, 72, 870413"	1438	"3, Sahar Cargo Road, Sahar Village, Andheri East, Mumbai, Mumbai Suburban, Maharashtra, India, 400099"
"        34, 144443, -118, 830142"	1440	"2592, Oakshore Drive, Westlake Village, Ventura County, California, United States, 91361"
"        25, 053247, 46, 998846"	1443	"40, Riyadh, Riyadh Province, Saudi Arabia, 13821"
